0	27.15
1	27.70
2	27.60
3	27.70
4	27.70
5	27.79
6	27.79
7	27.60
8	27.70
9	27.70
10	27.70
11	27.60
12	27.70
13	27.60
14	27.70
15	27.70
16	27.70
17	27.70
18	27.79
19	27.79
20	27.70
21	27.79
22	27.70
23	27.70
24	27.70
25	28.06
26	27.79
27	27.70
28	27.79
29	27.88
30	27.88
31	27.88
32	27.79
33	27.88
34	27.79
35	27.88
36	27.88
37	27.88
38	27.88
39	27.79
40	27.88
41	28.06
42	27.97
43	27.88
44	27.97
45	27.88
46	27.97
47	27.97
48	27.88
49	27.97
50	27.88
51	28.06
52	27.97
53	28.06
54	28.06
55	28.06
56	28.06
57	28.06
58	27.97
59	28.15
60	28.15
61	28.06
62	28.15
63	28.15
64	28.15
65	28.42
66	28.15
67	28.15
68	28.15
69	28.15
70	28.15
71	28.15
72	28.24
73	28.24
74	28.24
75	28.15
76	28.33
77	28.24
78	28.33
79	28.33
80	28.24
81	28.33
82	28.24
83	28.33
84	28.42
85	28.24
86	28.33
87	28.42
88	28.33
89	28.42
90	28.33
91	28.42
92	28.33
93	28.42
94	28.33
95	28.42
96	28.42
97	28.42
98	28.42
99	28.42
100	28.42
101	28.52
102	28.52
103	28.61
104	28.42
105	28.70
106	28.42
107	28.61
108	28.52
109	28.61
110	28.61
111	28.61
112	28.70
113	28.88
114	28.88
115	28.61
116	28.70
117	28.70
118	28.79
119	28.70
120	28.70
121	28.70
122	28.70
123	28.70
124	28.70
125	28.79
126	28.70
127	28.70
128	28.79
129	28.79
130	28.70
131	28.88
132	28.97
133	28.88
134	28.79
135	28.88
136	28.88
137	28.88
138	28.79
139	28.88
140	28.88
141	28.88
142	28.88
143	28.88
144	28.88
145	28.88
146	28.88
147	28.97
148	28.97
149	28.88
150	28.88
151	28.97
152	28.97
153	29.07
154	29.07
155	28.97
156	29.07
157	29.07
158	29.16
159	28.97
160	29.07
161	29.16
162	29.16
163	29.07
164	29.07
165	29.16
166	29.16
167	29.16
168	29.16
169	29.16
170	29.16
171	29.16
172	29.25
173	29.25
174	29.16
175	29.34
176	29.16
177	29.25
178	29.16
179	29.25
180	29.25
181	29.25
182	29.25
183	29.34
184	29.43
185	29.25
186	29.25
187	29.34
188	29.34
189	29.25
190	29.43
191	29.34
192	29.34
193	29.43
194	29.43
195	29.43
196	29.53
197	29.43
198	29.34
199	29.34
200	29.43
201	29.53
202	29.34
203	29.43
204	29.43
205	29.43
206	29.62
207	29.43
208	29.53
209	29.53
210	29.43
211	29.53
212	29.53
213	29.53
214	29.53
215	29.62
216	29.62
217	29.62
218	29.71
219	29.62
220	29.62
221	29.53
222	29.53
223	29.62
224	29.62
225	29.62
226	29.62
227	29.71
228	29.71
229	29.71
230	29.62
231	29.62
232	29.62
233	29.71
234	29.71
235	29.71
236	29.62
237	29.71
238	29.71
239	29.80
240	29.71
241	29.71
242	29.71
243	29.80
244	29.71
245	29.80
246	29.80
247	30.08
248	29.80
249	29.80
250	29.80
251	29.90
252	29.99
253	29.80
254	29.90
255	29.90
256	29.90
257	29.90
258	29.90
259	29.99
260	29.99
261	29.90
262	29.90
263	29.99
264	29.99
265	29.99
266	29.99
267	29.99
268	30.08
269	29.99
270	29.99
271	29.99
272	30.08
273	29.99
274	29.99
275	30.08
276	30.08
277	30.08
278	30.17
279	30.08
280	30.17
281	30.08
282	30.17
283	30.08
284	30.27
285	30.17
286	30.08
287	30.17
288	30.08
289	30.17
290	30.17
291	30.17
292	30.17
293	30.08
294	30.17
295	30.27
296	30.17
297	30.27
298	30.17
299	30.27
300	30.27
301	30.27
302	30.27
303	30.27
304	30.36
305	30.36
306	30.27
307	30.36
308	30.36
309	30.36
310	30.27
311	30.36
312	30.27
313	30.27
314	30.45
315	30.45
316	30.45
317	30.36
318	30.45
319	30.45
320	30.36
321	30.55
322	30.45
323	30.36
324	30.45
325	30.45
326	30.36
327	30.36
328	30.36
329	30.45
330	30.45
331	30.73
332	30.55
333	30.45
334	30.55
335	30.55
336	30.45
337	30.45
338	30.55
339	30.64
340	30.55
341	30.55
342	30.64
343	30.64
344	30.64
345	30.64
346	30.64
347	30.55
348	30.64
349	30.64
350	30.73
351	30.64
352	30.64
353	30.64
354	30.73
355	30.64
356	30.64
357	30.64
358	30.64
359	30.73
360	30.64
361	30.73
362	30.64
363	30.73
364	30.73
365	30.73
366	30.73
367	30.83
368	30.73
369	30.73
370	30.83
371	30.73
372	30.73
373	30.73
374	30.83
375	30.83
376	30.83
377	30.73
378	30.83
379	30.83
380	30.73
381	30.83
382	30.73
383	30.83
384	30.83
385	30.92
386	30.92
387	30.83
388	30.92
389	30.92
390	31.20
391	30.92
392	30.83
393	30.92
394	31.01
395	30.92
396	30.92
397	30.92
398	31.01
399	30.92
400	30.92
401	31.11
402	31.01
403	30.92
404	31.01
405	31.01
406	31.01
407	31.01
408	31.01
409	31.01
410	31.01
411	31.11
412	31.11
413	31.11
414	31.01
415	31.11
416	31.01
417	31.11
418	31.20
419	31.01
420	31.11
421	31.11
422	31.11
423	31.11
424	31.11
425	31.11
426	31.11
427	31.11
428	31.20
429	31.20
430	31.20
431	31.48
432	31.20
433	31.20
434	31.20
435	31.20
436	31.30
437	31.20
438	31.30
439	31.20
440	31.20
441	31.30
442	31.20
443	31.30
444	31.30
445	31.20
446	31.20
447	31.20
448	31.30
449	31.30
450	31.39
451	31.30
452	31.30
453	31.30
454	31.30
455	31.30
456	31.39
457	31.30
458	31.30
459	31.30
460	31.30
461	31.39
462	31.30
463	31.48
464	31.39
465	31.48
